cc_num,first,last,gender,street,city,state,zip,lat,long,job,dob,balance,age,sum_prev_day,prev_tran_long,prev_tran_lat,sum_prev_day_onl,cnt_prev_day_onl,avg_per_day,avg_per_week,avg_per_month,avg_per_qtr,avg_per_year,last_tran_date
123540,Carl,Gomez,M,204 Cohen Meadow Suite 976,Hathaway Pines,CA,95233,38.1919,-120.3644,Data processing manager,10/12/1958,,,,,,,,,,,,,
123541,Rebecca,Trujillo,F,242 Cody Pass,Colstrip,MT,59323,45.9344,-106.6368,Air broker,08/09/1983,,,,,,,,,,,,,
123542,Cheryl,Rice,F,0771 Solis Road Apt. 469,Brooklyn,NY,11228,40.6174,-74.0121,Tourism officer,7/24/1957,,,,,,,,,,,,,
123543,Cindy,Ray,F,09110 Marie Run,Oswego,IL,60543,41.6849,-88.3453,Magazine features editor,12/24/1994,,,,,,,,,,,,,
123544,Jeremy,Torres,M,81823 Karen Haven,Lewis Center,OH,43035,40.1879,-82.9878,"Designer, industrial/product",11/06/1995,,,,,,,,,,,,,
123545,Theresa,Cole,F,431 Walker Via,Chicago,IL,60601,41.8858,-87.6181,Retail banker,12/28/1950,,,,,,,,,,,,,
123546,Krystal,Harper,F,8905 Jones Road Apt. 997,Sperry,IA,52650,40.9419,-91.185,"Conservation officer, nature",11/02/1960,,,,,,,,,,,,,
123547,Angel,Smith,M,3472 Knight Loop,Livonia,NY,14487,42.8135,-77.6635,Landscape architect,4/29/1955,,,,,,,,,,,,,
123548,Jennifer,Harvey,F,85395 Elizabeth Spurs,Catron,MO,63833,36.6876,-89.7706,Personnel officer,9/18/1980,,,,,,,,,,,,,
123549,Monica,Brown,F,39422 Chloe Court,Myers Flat,CA,95554,40.2841,-123.7945,"Designer, fashion/clothing",1/14/1948,,,,,,,,,,,,,
123550,Brianna,Mercer,F,889 Gonzales Locks Suite 512,Peoria,IL,61607,40.6321,-89.6903,Event organiser,5/23/1929,,,,,,,,,,,,,
123551,Helen,Strong,F,38381 Lindsay Lights,La Plata,NM,87418,36.9576,-108.1792,"Engineer, electronics",08/09/1989,,,,,,,,,,,,,
123552,Cindy,Martin,F,18202 Sandra Bridge Suite 869,Ashland,NE,68003,41.0541,-96.3904,"Editor, film/video",6/18/1942,,,,,,,,,,,,,
123553,Kimberly,Hudson,F,623 Mills Ridge,Kiamesha Lake,NY,12751,41.6838,-74.6724,Copy,9/23/1974,,,,,,,,,,,,,
123554,James,Rodriguez,M,95514 Andrew Street,Elk Point,SD,57025,42.7382,-96.687,Chiropractor,7/29/1953,,,,,,,,,,,,,
123555,Kathleen,Maldonado,F,531 Hammond Stream Apt. 068,Burnet,TX,78611,30.7766,-98.2642,Television camera operator,6/18/1951,,,,,,,,,,,,,
123556,John,Garcia,M,34153 Maria Mountain,Salem,OR,97302,44.9039,-123.0445,Human resources officer,07/04/1954,,,,,,,,,,,,,
123557,James,Walker,M,53031 Thomas Run Suite 494,Lansing,KS,66043,39.2502,-94.8994,"Producer, radio",6/21/1972,,,,,,,,,,,,,
123558,Maurice,Simon,M,031 Jessica Harbor Suite 104,Caledonia,MN,55921,43.6221,-91.4837,Hydrographic surveyor,11/04/1974,,,,,,,,,,,,,
123559,John,Holland,M,630 Christina Harbor,Zephyr Cove,NV,89448,39.0204,-119.9114,Geophysical data processor,12/29/1949,,,,,,,,,,,,,
